"sim","rho","tau"
1,0.265033120738621,0.000294482369211981
11,0.341096875236087,0.000404419698847415
21,0.0643078239869598,0.00147625488513838
31,0.114491507041474,0.00175120180293106
41,0.368637731304843,0.000362674677616564
51,0.151286209236698,0.00072784437706461
61,0.860103964208288,0.000135465940876781
71,0.364195070176191,0.000264817170011662
81,0.155982606892631,0.00229486771365813
91,0.141587055783809,0.00210824999989953
101,0.0736305294772074,0.0022212848954183
111,0.653648524227903,0.000234547085223769
121,0.106720880984688,0.00116679617989266
131,0.10270830566742,0.00170103199728446
141,0.0819540224166788,0.00238871532399745
151,0.853753140854041,0.000234333098699713
161,0.0385778710521575,0.00462212338557367
171,0.0663241228407206,0.00181184058257995
181,0.0800786057342848,0.00156509568638568
191,0.0707619045050024,0.00152856680679164
201,0.0592068548309144,0.00164696846402564
211,0.0703365152766322,0.00163011659253751
221,0.268843797441168,0.00206794888015946
231,0.0366362587529296,0.00402824778414406
241,0.18728018841826,0.000463722991752631
251,0.31920796177456,0.00032510304857915
261,0.113859607354076,0.00115817507402698
271,0.141364849376324,0.00252033531751369
281,0.141653624259741,0.000824853389972066
291,0.0531628168655859,0.001553557180149
301,0.0879541785613421,0.00201659808066507
311,0.151456977837657,0.00291816629435002
321,0.0371222546954262,0.00154826768968956
331,0.0448729125875089,0.00213504216463022
341,0.106561557448024,0.00216557255456734
351,0.0878647980365033,0.00152732217412992
361,0.115004783313177,0.00130331713135583
371,0.0754601725746847,0.00242425704072068
381,0.0869901804396765,0.00166750673839355
391,0.101064985475881,0.00130679326152474
401,0.0939164999990568,0.00186991183987437
411,0.0952158926638238,0.00145270848106674
421,0.0943580159674458,0.00181391844672473
431,0.0979856861517976,0.00179597732237106
441,0.382580465631403,0.000352290680878297
451,0.078019168981558,0.00233589124958042
461,0.17584776240763,0.000609970661465039
471,0.134869769598928,0.000527950061046223
481,0.143486487606367,0.00249648060683151
491,0.113253267710207,0.000626530723520837
501,0.0850652168065034,0.00145158932498787
511,0.177803145046369,0.00198598320571693
521,0.151168942542295,0.0032353645652667
531,0.0330185539557107,0.00315618639402153
541,0.120886853822586,0.000646116164647555
551,0.0787557239002276,0.00221125411267699
561,0.0454700520636387,0.00144057935114161
571,0.278705762874819,0.0008521197364904
581,0.385372328744732,0.000367108367931875
591,0.165145278161891,0.000517287657197969
601,0.105996458132693,0.00101398155566292
611,0.107109970729853,0.000847148290625698
621,0.095247841017707,0.00180479718585488
631,0.135068417929006,0.000559336055959636
641,0.110845526772422,0.00223333414995602
651,0.0876506956401007,0.00181342819887641
661,0.161772763888799,0.00263315877365772
671,0.128983352417814,0.00191874991619887
681,0.140512271414975,0.00220858708689638
691,0.037227309425972,0.0019223578152592
701,0.0808072101893915,0.00103324476904291
711,0.171827415117368,0.000683190781222315
721,0.404118298729034,0.000244578588534291
731,0.0579567524142739,0.00222481381461151
741,0.101957131164444,0.0017009527550187
751,0.0402166805986209,0.00131028185517642
761,0.233765612051722,0.0003730776705113
771,0.0812253430548604,0.000890515427671999
781,0.147797835589033,0.00228778963269496
791,0.0934719976463604,0.00186001230037742
801,0.258630046207134,0.000613122861532383
811,0.0711974571850456,0.00256890726095911
821,0.130294088887362,0.00194656729204856
831,0.260270347185803,0.000538356576756309
841,0.164423115723668,0.00181426503774954
851,0.123067361675755,0.0011207542345146
861,0.0543383923818942,0.00138792328950118
871,0.072721102314676,0.00155505415019678
881,0.134547402876101,0.00180458066589412
891,0.0858600415566809,0.00207306002270037
901,0.0744924534027795,0.00140747155606862
911,0.170876487737009,0.000872618164519224
921,0.0704217273813303,0.00276657754553667
931,0.0891224066177871,0.002213227178631
941,0.0832239892966317,0.00204220871271227
951,0.0884111850132715,0.00291205643916315
961,0.0758698996953471,0.00230915333911988
971,0.0415047371071627,0.00202158718715707
981,0.109499122401029,0.00155258863225659
991,0.102874571649505,0.00235057735073516
2,0.140709716682214,0.000872055898010114
12,0.0999463230906147,0.00137096066698938
22,0.0376595453251955,0.00153504289722102
32,0.087750018391443,0.00149768036796872
42,0.171372858186451,0.00052988449615952
52,0.102901733567838,0.00230420282258506
62,0.0564247820354087,0.00169935439530461
72,0.127561031588227,0.00277073873517161
82,0.194219638379669,0.00247494623364637
92,0.0655287603577855,0.00134169982139767
102,0.136840653447883,0.00178965303121704
112,0.107790653763692,0.00260735935762964
122,0.0377030536836337,0.00143560731328891
132,0.152013450505254,0.000930107228796808
142,0.0610392664265085,0.00180194091342362
152,0.0615166538216858,0.0026672372485658
162,0.155954817882293,0.000796522294381889
172,0.125385776085268,0.00221185313120048
182,0.0462570579904279,0.0014170725430995
192,0.17503603187345,0.000622078595227482
202,0.11317024432944,0.000655635870732759
212,0.198138570619408,0.000558655194739782
222,0.0759452875249636,0.00146934906544954
232,0.242237704771404,0.000437221040435304
242,0.11001857161959,0.00185935081618971
252,0.182191672765154,0.000951534949304025
262,0.10277347959349,0.00144954412409283
272,0.679971148004778,0.000162618705496379
282,0.434125362761602,0.000387185122238773
292,0.0759359581536453,0.00239194369843536
302,0.0655765704598683,0.0017003247660048
