"sim","rho","tau"
1,0.126816231502892,0.00427060281204597
11,0.149898770375687,0.00385636069439404
21,0.108604121596952,0.00533651728079075
31,0.160666082758408,0.00340246480608074
41,0.119212328491667,0.00516880553843249
51,0.120567365939911,0.00433251997199578
61,0.149391264867233,0.00356931611267851
71,0.121162484580177,0.00433555876591673
81,0.108084027157065,0.00526263697741642
91,0.152061539019907,0.00346331081850785
101,0.132567982335787,0.00389255859531204
111,0.129847745442754,0.00409181499682097
121,0.136020653966747,0.00479242545642942
131,0.147692421923412,0.00394297475869887
141,0.142525468202751,0.00332359610559204
151,0.128262084219377,0.00465324722282706
161,0.117972720395924,0.00505859676133449
171,0.110528373471218,0.00494171526937719
181,0.119145156219393,0.00511573153174497
191,0.134520362699858,0.00403455127756993
201,0.112949015654646,0.0049944423159634
211,0.12088463243014,0.00458912124227625
221,0.116377794293797,0.0051531708324758
231,0.122919669662848,0.00497138179744164
241,0.122219367697743,0.00479533892506342
251,0.142488082004211,0.00380288609008534
261,0.136447036362363,0.00404017461813668
271,0.122292585886619,0.00471065085369164
281,0.117695263074528,0.00486434437517311
291,0.12998960723233,0.00423117733512782
301,0.126945580576165,0.00434079909196126
311,0.116669541235012,0.0047398140635688
321,0.154425398384324,0.0035845526122499
331,0.123150911284785,0.00486258965249983
341,0.142252824737026,0.00404900406145775
351,0.125647048478468,0.00443682028095059
361,0.150582560150819,0.00358215430803178
371,0.139751356207657,0.00419647957751251
381,0.134555076347722,0.00423798770116115
391,0.126709928280345,0.00453072499133464
401,0.162331501295462,0.00330024849298219
411,0.110613228709826,0.0048654758882503
421,0.156552277435108,0.00341281903677128
431,0.124444105539763,0.00417914706812748
441,0.135154881494611,0.00396945342511693
451,0.120561635665415,0.00439891675936141
461,0.10201431688354,0.0051952566301613
471,0.128681732584819,0.00465542449539272
481,0.123383728354602,0.00495191910054354
491,0.138841677871673,0.00428011925895902
501,0.137770932917885,0.00442104092963548
511,0.143210432527223,0.00387496280329467
521,0.140371224934719,0.00369996507031195
531,0.125319105596527,0.00436716245627875
541,0.11114140658463,0.00498404197015705
551,0.125650031165562,0.00440408583767676
561,0.14181202155747,0.00425431894616506
571,0.113306630627328,0.00508628920698234
581,0.11585585876297,0.00473476426398149
591,0.114656795082105,0.00485997087493283
601,0.130876503083769,0.00406106799347051
611,0.125018471683903,0.00454729368354085
621,0.111563971304048,0.00526567553856794
631,0.15090817141653,0.00370739512099552
641,0.120336955037299,0.00499945231701139
651,0.121910024315539,0.00513868766141623
661,0.112142999757837,0.00502595201825123
671,0.123391503747343,0.00396875703584506
681,0.112570342155633,0.00475598196337784
691,0.1283404073357,0.00506852013027474
701,0.132183760896101,0.00463244562456525
711,0.14832674839052,0.00392098910344004
721,0.13588590726913,0.004089908543088
731,0.12312835469264,0.00460090739462405
741,0.162211909700356,0.00352914347803878
751,0.136688534721729,0.00366523287729264
761,0.160556670866336,0.00351308108889875
771,0.14540521611351,0.00370793585568462
781,0.12922716603381,0.00466161797858488
791,0.141247915549286,0.00419409480841171
801,0.109591074666211,0.00495540087260673
811,0.131812691411945,0.00464028452958413
821,0.149548340930814,0.00388067537091073
831,0.142732583412084,0.00337056273886003
841,0.128392973565498,0.00448167955047055
851,0.135837438218548,0.00420952330827194
861,0.116237644018106,0.00489279346205265
871,0.108800686674683,0.00496867638551394
881,0.133860884574688,0.00429540152181628
891,0.12663691434028,0.00438631477749199
901,0.131744051715334,0.00389707455831599
911,0.1178894737657,0.00520420955431646
921,0.122672039105993,0.00435631367098948
931,0.14276879064053,0.0038208604173883
941,0.128458716539885,0.00432828378283808
951,0.135316769189322,0.00386603522642011
961,0.111351542261474,0.00466976979806096
971,0.129122332331823,0.00408861057022729
981,0.114985980519932,0.00529462961390606
991,0.153970908627217,0.00370847133136498
2,0.148968393467562,0.00386800807719344
12,0.131071557865208,0.00431937832309154
22,0.116447673876493,0.00550685969943602
32,0.159174403528233,0.00366846943679563
42,0.137330090932563,0.00386955759921832
52,0.127237097645198,0.00427350236188276
62,0.12341439668229,0.00419217867701908
72,0.135188916943797,0.00383742181401603
82,0.120552894580908,0.00402078174392462
92,0.120561595251378,0.00496822904084698
102,0.137189292505719,0.00366516132274718
112,0.0956392185900841,0.00622878671781354
122,0.127457847656571,0.00425919368371255
132,0.132009692154575,0.00397451992177188
142,0.131589423801292,0.00393619575381654
152,0.1257203074178,0.00454203188869814
162,0.111200609182707,0.0053077763916937
172,0.128135729306373,0.00433610963976756
182,0.137519479090743,0.00385761622476078
192,0.143254035248646,0.00437119654313925
202,0.129268734935347,0.00409059126928057
212,0.138955998539991,0.00377434025952309
222,0.124628056959748,0.00445144707029466
232,0.155890687977799,0.00330245319051087
242,0.140019676368527,0.00423301902815258
252,0.124183259545642,0.00440093107472381
262,0.154656168552881,0.00332377469611889
272,0.113580187649122,0.00542790683967697
282,0.117654504151988,0.00480415954778287
292,0.125180400489047,0.00433560397718698
302,0.149619981014217,0.00377897400724468
312,0.125011423955659,0.00425042439175768
322,0.116906654813961,0.00419851093740136
332,0.15245212381206,0.00379652267208835
342,0.111207150685014,0.00508207020344917
352,0.104987839738326,0.00547362657141429
362,0.122536753309142,0.0042680080041845
372,0.129580431078956,0.00408557733413586
382,0.136054878380095,0.00389654458532999
392,0.132931020310908,0.00424363474409916
402,0.121004599874901,0.00467665455690923
412,0.11982890819061,0.00507924852181298
422,0.139732655183758,0.00387015046685561
432,0.128646159709128,0.00464446429702668
442,0.131908289637828,0.00403266249520043
452,0.153430003792156,0.00345471420971924
462,0.126953239269104,0.00435318365300816
472,0.122114436644491,0.00440506989479711
482,0.126667765361764,0.0042196316299453
492,0.139258859085054,0.00380318622080791
502,0.119536886524503,0.00440503579910272
512,0.13358123856329,0.00454628615422065
522,0.116254226085126,0.00424615698343194
532,0.118704805222562,0.0045523484074424
542,0.139871423822124,0.00403851502834813
552,0.134916870093257,0.00387810638612637
562,0.151439352902454,0.00314100320800414
572,0.145457051113454,0.00374719665668736
582,0.13105438134751,0.00412143733864181
592,0.118670066220125,0.00452187098193006
602,0.12161282253009,0.00495325680974834
612,0.128202889363116,0.00426641003286397
622,0.140374903759958,0.00407499515585287
632,0.130364948631902,0.00440144169674398
642,0.125050818266108,0.00429759920166648
652,0.143872692567758,0.00411368730784547
662,0.133802333948019,0.00413621680032888
672,0.125706913483864,0.00447429218711019
682,0.17306334826799,0.00321684155116557
692,0.150621453610777,0.00319439854955548
702,0.107007848583454,0.00528897174886542
712,0.135426215813804,0.00419165115569657
722,0.126413776242065,0.00426498995556129
732,0.148498845329766,0.00353880068681724
742,0.118109548390361,0.00489967989471502
752,0.116459308523622,0.00462643719928558
762,0.111205455900839,0.00498810960918147
772,0.109507725740925,0.00526854499627844
782,0.120520179436877,0.0040998144483405
792,0.144497477571851,0.00408733765975801
802,0.132365884239776,0.00437272529909852
812,0.114360365961041,0.0043695501636788
822,0.12648430990744,0.00456582781430943
832,0.110315246493681,0.00451491167366446
842,0.131377309579587,0.00378255286803672
852,0.131045824247139,0.00450329172969232
862,0.119161578662044,0.00476733891573308
872,0.13469447744027,0.00372438529883658
882,0.127959073640253,0.00406828045004751
892,0.160544887164029,0.00340462736842235
902,0.133541848505734,0.00368533067200787
912,0.122563709872786,0.00462868254703831
922,0.134625262921472,0.00413861676488373
932,0.114584411634003,0.00537067332180313
942,0.121283764464529,0.00488835389091294
952,0.123297244706101,0.00454380796467421
962,0.143142261322144,0.00394428614351721
972,0.147837027680647,0.00352241741313701
982,0.128210950632112,0.00419687341266741
992,0.111453853024802,0.00534185240868052
3,0.123650916116742,0.00457681633209271
13,0.115206831324072,0.00530923446548755
23,0.152266753294166,0.00363722555726264
33,0.11929510736664,0.00460454418074343
43,0.131602618091537,0.0041445806285341
53,0.138141462328897,0.00408549555384007
63,0.118935628457893,0.00548883902572916
73,0.138178812247499,0.00392034762653493
83,0.148098738071682,0.00362456701814747
93,0.141332517139931,0.00356075372826292
103,0.129923415324068,0.00447877213579358
113,0.114864642580961,0.00500423755402749
123,0.120612559105786,0.00462005233370871
133,0.117919892319305,0.00504395732499783
143,0.118017104949304,0.0052143778661356
153,0.144337572475323,0.0039678440029079
163,0.145878009772828,0.00378673107936205
173,0.1315084922585,0.0039230298529177
183,0.132323873528742,0.00440992082021248
193,0.12800008582988,0.00438838788038327
203,0.128553197766986,0.00410439422953115
213,0.129449195441185,0.00431503288578518
223,0.117329285101921,0.00440912847432083
233,0.133579674421596,0.00406546804219065
243,0.126645209849788,0.00416396197962577
253,0.135840361311655,0.00392026921469917
263,0.140132334546893,0.00438060342259319
273,0.141384003720488,0.00388362342069261
283,0.133234592192496,0.00407513460059797
293,0.12645512041663,0.00448047511856062
303,0.135391143753334,0.00418562000163314
313,0.107300376650145,0.00532065889938452
323,0.139072233518195,0.00413273729635703
333,0.151944368194114,0.00350357052641968
343,0.128512655481371,0.00446191645735081
353,0.116301098768592,0.0050412594200852
363,0.119718643736806,0.00479993634600774
373,0.128510895172796,0.00416777098772662
383,0.142211702466889,0.00437095469750495
393,0.16590997210349,0.0031671273269238
403,0.12002165736656,0.00428890541224317
413,0.157688698301254,0.00344608733494155
423,0.136974596884596,0.00408656034492006
433,0.129973841383951,0.00407898634899769
443,0.123737682104703,0.00442445435457359
453,0.108539510578123,0.00540615300757247
463,0.138557748178148,0.00427655818454546
473,0.122657805474487,0.00425992516322957
483,0.137805645691283,0.00365814906149726
493,0.115669680281347,0.00494323156944315
503,0.115073755600611,0.00466831562138687
513,0.119061302006395,0.00432899535554911
523,0.12683145626792,0.00433188241288626
533,0.127664740720912,0.0041343867284019
543,0.114453223669795,0.00479256237165172
553,0.124741823880487,0.00446746863947951
563,0.112281722704875,0.00487495736655324
573,0.138433866924466,0.00387228739027326
583,0.14305280080541,0.00461492377540446
593,0.120278723294661,0.00471188651871519
603,0.143380526458581,0.00389508794489978
613,0.142353111770225,0.00392285552524101
623,0.109918126786823,0.00497971903164527
633,0.139334048260714,0.00369981902866295
643,0.114298706275239,0.0052102248839936
653,0.126605602600939,0.00459118756206165
663,0.130337757105076,0.00446183022105764
673,0.1415394024816,0.00363644577854254
